Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
435;26.07.2022 14:00:00;5,71;-1,40;19,67;20,20;1453,82
436;26.07.2022 15:00:00;6,67;-1,40;16,74;17,87;1454,04
437;26.07.2022 16:00:00;7,16;-1,46;14,90;16,27;1453,71
438;26.07.2022 17:00:00;7,78;-1,51;14,24;15,87;1455,40
439;26.07.2022 18:00:00;7,99;-1,46;13,29;14,96;1455,03
440;26.07.2022 19:00:00;8,29;-1,51;11,85;13,57;1454,45
441;26.07.2022 20:00:00;8,02;-1,46;12,16;13,80;1453,74
442;26.07.2022 21:00:00;7,05;-1,40;17,58;18,88;1456,68
443;26.07.2022 22:00:00;6,53;-1,40;18,79;19,80;1456,08
444;26.07.2022 23:00:00;6,24;-1,34;18,91;19,76;1455,06
445;27.07.2022 00:00:00;6,03;-1,23;18,98;19,71;1454,27
446;27.07.2022 01:00:00;5,64;-1,17;18,79;19,33;1452,40
447;27.07.2022 02:00:00;5,42;-1,06;18,37;18,82;1450,96
448;27.07.2022 03:00:00;5,42;-1,00;17,40;17,90;1449,70
449;27.07.2022 04:00:00;5,31;-1,06;16,98;17,45;1448,71
450;27.07.2022 05:00:00;5,39;-1,00;16,05;16,60;1447,81
451;27.07.2022 06:00:00;5,53;-1,00;14,45;15,14;1446,38
452;27.07.2022 07:00:00;5,35;-0,94;13,69;14,33;1444,63
453;27.07.2022 08:00:00;5,24;-0,89;13,18;13,79;1443,51
454;27.07.2022 09:00:00;5,20;-0,89;13,13;13,73;1443,29
455;27.07.2022 10:00:00;5,02;-0,89;13,74;14,25;1443,30
456;27.07.2022 11:00:00;5,20;-0,83;13,22;13,82;1443,41
457;27.07.2022 12:00:00;5,31;-0,77;12,72;13,37;1443,23
458;27.07.2022 13:00:00;5,39;-0,77;12,39;13,08;1443,12
459;27.07.2022 14:00:00;5,42;-0,83;12,25;12,96;1443,10
460;27.07.2022 15:00:00;5,49;-0,77;11,85;12,59;1442,89
461;27.07.2022 16:00:00;5,46;-0,77;11,60;12,33;1442,42
462;27.07.2022 17:00:00;5,35;-0,77;11,37;12,07;1441,66
463;27.07.2022 18:00:00;5,10;-0,89;11,20;11,81;1440,34
464;27.07.2022 19:00:00;4,99;-0,83;11,07;11,66;1439,71
465;27.07.2022 20:00:00;4,88;-0,77;11,01;11,56;1439,15
466;27.07.2022 21:00:00;4,80;-0,83;10,88;11,41;1438,66
467;27.07.2022 22:00:00;4,73;-0,77;10,85;11,36;1438,31
468;27.07.2022 23:00:00;4,62;-0,77;10,87;11,34;1437,86
469;28.07.2022 00:00:00;4,47;-0,72;10,85;11,28;1437,19
470;28.07.2022 01:00:00;4,29;-0,77;10,85;11,22;1436,38
471;28.07.2022 02:00:00;4,14;-0,77;10,91;11,23;1435,81
472;28.07.2022 03:00:00;4,03;-0,83;10,85;11,14;1435,23
473;28.07.2022 04:00:00;3,92;-0,83;10,83;11,09;1434,72
474;28.07.2022 05:00:00;3,81;-0,89;10,80;11,02;1434,18
475;28.07.2022 06:00:00;3,73;-0,94;10,76;10,96;1433,80
476;28.07.2022 07:00:00;3,66;-1,06;10,84;11,01;1433,55
477;28.07.2022 08:00:00;3,66;-1,00;10,93;11,09;1433,67
478;28.07.2022 09:00:00;3,58;-0,94;10,82;10,97;1433,20
479;28.07.2022 10:00:00;3,54;-0,94;10,77;10,91;1432,97
480;28.07.2022 11:00:00;3,58;-0,89;10,58;10,74;1432,89
481;28.07.2022 12:00:00;3,58;-0,83;10,47;10,64;1432,74
482;28.07.2022 13:00:00;3,54;-0,77;10,38;10,54;1432,46
483;28.07.2022 14:00:00;3,66;-0,77;10,41;10,61;1433,00
484;28.07.2022 15:00:00;3,62;-0,83;10,26;10,45;1432,63
485;28.07.2022 16:00:00;3,66;-0,89;10,14;10,35;1432,65
486;28.07.2022 17:00:00;3,66;-0,89;10,01;10,23;1432,48
487;28.07.2022 18:00:00;3,73;-0,94;9,88;10,13;1432,65
488;28.07.2022 19:00:00;3,73;-1,00;9,38;9,65;1431,99
489;28.07.2022 20:00:00;3,66;-0,94;9,20;9,46;1431,42
490;28.07.2022 21:00:00;3,62;-1,00;8,52;8,80;1430,37
491;28.07.2022 22:00:00;3,62;-0,94;8,54;8,81;1430,39
492;28.07.2022 23:00:00;3,54;-0,89;8,31;8,58;1429,76
493;29.07.2022 00:00:00;3,47;-0,83;7,76;8,03;1428,71
494;29.07.2022 01:00:00;3,58;-0,83;8,47;8,74;1430,14
495;29.07.2022 02:00:00;3,51;-0,83;9,10;9,33;1430,63
496;29.07.2022 03:00:00;3,43;-0,89;8,59;8,81;1429,61
497;29.07.2022 04:00:00;3,35;-0,94;7,88;8,12;1428,35
498;29.07.2022 05:00:00;3,35;-1,00;8,15;8,37;1428,70
499;29.07.2022 06:00:00;3,32;-1,06;7,98;8,21;1428,31
500;29.07.2022 07:00:00;3,35;-1,06;7,97;8,21;1428,47
501;29.07.2022 08:00:00;3,35;-1,12;9,05;9,23;1429,87
502;29.07.2022 09:00:00;3,24;-1,00;10,12;10,21;1430,76
503;29.07.2022 10:00:00;3,16;-0,94;10,43;10,48;1430,83
504;29.07.2022 11:00:00;3,24;-0,94;10,61;10,67;1431,41
505;29.07.2022 12:00:00;3,39;-0,89;10,10;10,24;1431,42
506;29.07.2022 13:00:00;3,43;-0,83;9,55;9,73;1430,88
507;29.07.2022 14:00:00;3,62;-0,83;9,77;9,99;1432,01
508;29.07.2022 15:00:00;3,73;-0,83;9,47;9,73;1432,11
509;29.07.2022 16:00:00;3,73;-0,89;9,69;9,95;1432,40
510;29.07.2022 17:00:00;3,88;-0,89;9,54;9,85;1432,87
511;29.07.2022 18:00:00;3,99;-1,00;9,49;9,83;1433,30
512;29.07.2022 19:00:00;4,10;-1,06;9,56;9,93;1433,89
513;29.07.2022 20:00:00;4,18;-1,06;9,54;9,93;1434,19
514;29.07.2022 21:00:00;4,10;-1,12;9,77;10,13;1434,16
515;29.07.2022 22:00:00;4,03;-1,06;9,72;10,05;1433,76
516;29.07.2022 23:00:00;3,92;-1,00;9,87;10,17;1433,46
517;30.07.2022 00:00:00;3,88;-1,00;10,01;10,30;1433,49
518;30.07.2022 01:00:00;3,81;-0,94;10,12;10,38;1433,29
519;30.07.2022 02:00:00;3,66;-1,00;10,31;10,51;1432,87
520;30.07.2022 03:00:00;3,58;-1,00;10,57;10,73;1432,87
521;30.07.2022 04:00:00;3,58;-1,00;10,73;10,88;1433,08
522;30.07.2022 05:00:00;3,51;-1,12;10,32;10,47;1432,20
523;30.07.2022 06:00:00;3,62;-1,12;9,92;10,13;1432,19
524;30.07.2022 07:00:00;3,35;-1,23;0,00;0,00;1418,06
525;30.07.2022 08:00:00;3,43;-1,17;0,00;0,00;1418,40
526;30.07.2022 09:00:00;3,58;-1,23;0,00;0,00;1419,09
527;30.07.2022 10:00:00;3,95;-1,23;0,00;0,00;1420,80
528;30.07.2022 11:00:00;4,14;-1,23;0,00;0,00;1421,64
529;30.07.2022 12:00:00;4,29;-1,12;0,00;0,00;1422,32
530;30.07.2022 13:00:00;4,33;-1,12;0,00;0,00;1422,48
531;30.07.2022 14:00:00;4,55;-0,94;4,65;5,13;1429,49
532;30.07.2022 15:00:00;5,17;-1,12;3,01;3,48;1430,12
533;30.07.2022 16:00:00;4,99;-1,12;8,71;9,34;1436,67
534;30.07.2022 17:00:00;5,17;-1,06;9,33;10,00;1438,25
535;30.07.2022 18:00:00;5,24;-1,17;9,70;10,38;1439,03
536;30.07.2022 19:00:00;5,39;-1,17;9,98;10,71;1440,03
537;30.07.2022 20:00:00;5,28;-1,29;10,25;10,94;1439,90
538;30.07.2022 21:00:00;5,10;-1,23;10,60;11,23;1439,57
539;30.07.2022 22:00:00;4,95;-1,23;10,91;11,49;1439,33
540;30.07.2022 23:00:00;4,80;-1,23;11,07;11,59;1438,91
541;31.07.2022 00:00:00;4,69;-1,23;11,15;11,64;1438,54
542;31.07.2022 01:00:00;4,58;-1,17;11,21;11,66;1438,14
543;31.07.2022 02:00:00;4,47;-1,17;11,24;11,65;1437,69
544;31.07.2022 03:00:00;4,44;-1,12;11,25;11,65;1437,54
545;31.07.2022 04:00:00;4,36;-1,17;11,25;11,63;1437,22
546;31.07.2022 05:00:00;4,58;-1,17;10,48;10,96;1437,20
547;31.07.2022 06:00:00;4,69;-1,23;9,44;9,98;1436,33
548;31.07.2022 07:00:00;4,69;-1,29;8,20;8,76;1434,73
549;31.07.2022 08:00:00;4,69;-1,29;9,14;9,68;1435,93
550;31.07.2022 09:00:00;4,77;-1,34;8,74;9,30;1435,74
551;31.07.2022 10:00:00;4,84;-1,29;8,72;9,30;1436,03
552;31.07.2022 11:00:00;4,95;-1,29;8,58;9,20;1436,34
553;31.07.2022 12:00:00;5,17;-1,23;8,80;9,47;1437,56
554;31.07.2022 13:00:00;5,39;-1,17;8,79;9,52;1438,49
555;31.07.2022 14:00:00;5,64;-1,12;8,88;9,68;1439,69
556;31.07.2022 15:00:00;5,96;-1,06;8,97;9,85;1441,18
557;31.07.2022 16:00:00;6,10;-1,06;9,02;9,94;1441,84
558;31.07.2022 17:00:00;6,24;-1,12;8,92;9,88;1442,32
559;31.07.2022 18:00:00;6,24;-1,12;9,02;9,98;1442,45
560;31.07.2022 19:00:00;6,24;-1,17;8,99;9,95;1442,40
561;31.07.2022 20:00:00;6,21;-1,23;8,93;9,88;1442,18
562;31.07.2022 21:00:00;6,21;-1,23;8,94;9,89;1442,19
563;31.07.2022 22:00:00;6,14;-1,17;8,69;9,62;1441,58
564;31.07.2022 23:00:00;6,07;-1,12;8,69;9,60;1441,28
565;01.08.2022 00:00:00;5,96;-1,12;8,51;9,38;1440,59
566;01.08.2022 01:00:00;5,82;-1,12;8,37;9,20;1439,80
567;01.08.2022 02:00:00;5,71;-1,00;7,60;8,39;1438,36
568;01.08.2022 03:00:00;5,57;-1,06;7,10;7,85;1437,10
569;01.08.2022 04:00:00;5,46;-1,06;7,09;7,81;1436,62
570;01.08.2022 05:00:00;5,35;-1,00;6,92;7,61;1435,93
571;01.08.2022 06:00:00;5,24;-1,12;6,50;7,16;1434,92
572;01.08.2022 07:00:00;5,13;-1,12;6,39;7,02;1434,30
573;01.08.2022 08:00:00;5,10;-1,17;5,89;6,51;1433,51
574;01.08.2022 09:00:00;5,13;-1,23;5,47;6,07;1433,12
575;01.08.2022 10:00:00;5,20;-1,17;5,01;5,60;1432,84
576;01.08.2022 11:00:00;5,49;-1,23;4,30;4,90;1433,19
577;01.08.2022 12:00:00;5,75;-1,17;3,57;4,14;1433,35
578;01.08.2022 13:00:00;5,85;-1,17;2,92;3,44;1432,97
579;01.08.2022 14:00:00;6,07;-1,12;3,12;3,68;1434,15
580;01.08.2022 15:00:00;6,32;-1,06;3,54;4,18;1435,77
581;01.08.2022 16:00:00;6,39;-1,06;4,15;4,86;1436,85
582;01.08.2022 17:00:00;6,39;-1,06;6,13;7,00;1439,37
583;01.08.2022 18:00:00;6,46;-1,12;6,25;7,14;1439,82
584;01.08.2022 19:00:00;6,39;-1,23;5,79;6,63;1438,93
585;01.08.2022 20:00:00;6,32;-1,23;6,12;6,98;1439,05
586;01.08.2022 21:00:00;6,24;-1,23;7,27;8,17;1440,22
587;01.08.2022 22:00:00;6,03;-1,17;8,09;8,97;1440,36
588;01.08.2022 23:00:00;5,85;-1,23;8,48;9,33;1440,10
589;02.08.2022 00:00:00;5,78;-1,12;8,53;9,36;1439,86
590;02.08.2022 01:00:00;5,67;-1,17;8,31;9,10;1439,11
591;02.08.2022 02:00:00;5,57;-1,12;8,05;8,81;1438,31
592;02.08.2022 03:00:00;5,49;-1,00;8,25;9,00;1438,27
593;02.08.2022 04:00:00;5,39;-1,00;7,71;8,42;1437,10
594;02.08.2022 05:00:00;5,17;-1,12;7,49;8,16;1435,88
595;02.08.2022 06:00:00;5,10;-1,12;7,19;7,83;1435,17
596;02.08.2022 07:00:00;5,02;-1,12;7,18;7,81;1434,85
597;02.08.2022 08:00:00;4,95;-1,17;6,86;7,47;1434,12
598;02.08.2022 09:00:00;5,06;-1,23;8,01;8,65;1436,08
599;02.08.2022 10:00:00;4,69;-1,23;0,00;0,00;1424,13
600;02.08.2022 11:00:00;4,88;-1,23;0,00;0,00;1424,95
601;02.08.2022 12:00:00;5,17;-1,17;0,00;0,00;1426,24
602;02.08.2022 13:00:00;5,67;-1,17;0,00;0,00;1428,46
603;02.08.2022 14:00:00;6,03;-1,17;0,00;0,00;1430,02
604;02.08.2022 15:00:00;6,32;-1,06;0,00;0,00;1431,25
605;02.08.2022 16:00:00;6,49;-1,12;0,00;0,00;1432,01
606;02.08.2022 17:00:00;6,70;-1,12;0,00;0,00;1432,92
607;02.08.2022 18:00:00;6,88;-1,06;0,00;0,00;1433,66
608;02.08.2022 19:00:00;6,95;-1,23;0,00;0,00;1433,96
609;02.08.2022 20:00:00;6,95;-1,29;0,00;0,00;1433,96
610;02.08.2022 21:00:00;6,84;-1,29;0,00;0,00;1433,51
611;02.08.2022 22:00:00;6,74;-1,29;0,00;0,00;1433,06
612;02.08.2022 23:00:00;6,67;-1,23;0,00;0,00;1432,76
613;03.08.2022 00:00:00;6,42;-1,17;0,00;0,00;1431,71
614;03.08.2022 01:00:00;6,21;-1,23;0,00;0,00;1430,79
615;03.08.2022 02:00:00;5,96;-1,17;0,00;0,00;1429,71
616;03.08.2022 03:00:00;5,92;-1,12;0,00;0,00;1429,56
617;03.08.2022 04:00:00;5,89;-1,12;0,00;0,00;1429,40
618;03.08.2022 05:00:00;5,75;-1,12;0,00;0,00;1428,78
619;03.08.2022 06:00:00;5,64;-1,06;0,00;0,00;1428,31
620;03.08.2022 07:00:00;5,28;-1,06;5,55;6,18;1433,86
621;03.08.2022 08:00:00;5,71;-1,17;9,17;9,99;1440,37
622;03.08.2022 09:00:00;4,77;-1,23;10,92;11,44;1438,56
623;03.08.2022 10:00:00;5,71;-1,17;11,29;12,11;1443,09
624;03.08.2022 11:00:00;5,92;-1,12;11,17;12,06;1443,84
625;03.08.2022 12:00:00;5,96;-1,17;11,43;12,33;1444,32
626;03.08.2022 13:00:00;5,10;-1,12;12,80;13,37;1442,40
627;03.08.2022 14:00:00;4,69;-1,06;13,62;14,00;1441,73
628;03.08.2022 15:00:00;4,77;-1,06;14,07;14,46;1442,62
629;03.08.2022 16:00:00;5,06;-0,94;14,37;14,87;1444,28
630;03.08.2022 17:00:00;5,67;-1,06;14,37;15,12;1446,88
631;03.08.2022 18:00:00;5,85;-1,00;14,54;15,35;1447,85
632;03.08.2022 19:00:00;5,46;-1,00;15,08;15,71;1446,89
633;03.08.2022 20:00:00;5,78;-1,06;15,18;15,95;1448,37
634;03.08.2022 21:00:00;6,17;-1,12;15,08;16,02;1449,88
635;03.08.2022 22:00:00;6,03;-1,06;15,25;16,13;1449,51
636;03.08.2022 23:00:00;6,07;-1,06;15,33;16,22;1449,77
637;04.08.2022 00:00:00;5,67;-1,06;15,45;16,16;1448,27
638;04.08.2022 01:00:00;5,20;-1,00;15,82;16,30;1446,75
639;04.08.2022 02:00:00;5,02;-0,94;16,02;16,41;1446,24
640;04.08.2022 03:00:00;5,02;-0,94;16,19;16,58;1446,46
641;04.08.2022 04:00:00;5,10;-0,89;16,29;16,70;1446,90
642;04.08.2022 05:00:00;5,20;-0,89;16,36;16,81;1447,45
643;04.08.2022 06:00:00;5,20;-0,89;16,37;16,83;1447,47
644;04.08.2022 07:00:00;5,10;-0,94;16,43;16,83;1447,07
645;04.08.2022 08:00:00;5,17;-1,06;16,18;16,63;1447,06
646;04.08.2022 09:00:00;5,13;-1,06;16,40;16,82;1447,19
647;04.08.2022 10:00:00;4,77;-1,06;16,59;16,83;1445,88
648;04.08.2022 11:00:00;5,78;-1,06;16,21;16,94;1449,69
649;04.08.2022 12:00:00;4,47;-1,12;16,77;16,86;1444,84
650;04.08.2022 13:00:00;4,62;-1,06;16,82;16,97;1445,55
651;04.08.2022 14:00:00;5,06;-1,06;16,90;17,26;1447,53
652;04.08.2022 15:00:00;6,32;-0,94;16,88;17,84;1452,78
653;04.08.2022 16:00:00;11,22;-1,06;12,70;15,59;1466,78
654;04.08.2022 17:00:00;11,09;-1,00;11,33;13,99;1464,62
655;04.08.2022 18:00:00;11,73;-1,06;10,43;13,17;1465,92
656;04.08.2022 19:00:00;10,47;-1,06;10,83;13,21;1461,66
657;04.08.2022 20:00:00;9,51;-1,12;12,62;14,85;1460,20
658;04.08.2022 21:00:00;11,35;-1,06;11,01;13,71;1465,19
659;04.08.2022 22:00:00;11,64;-1,17;10,39;13,09;1465,51
660;04.08.2022 23:00:00;11,76;-1,17;9,57;12,17;1464,99
661;05.08.2022 00:00:00;11,44;-1,12;9,50;11,99;1463,70
662;05.08.2022 01:00:00;11,18;-1,17;9,47;11,88;1462,70
663;05.08.2022 02:00:00;11,09;-1,12;9,59;11,99;1462,48
664;05.08.2022 03:00:00;10,89;-1,12;9,66;12,02;1461,84
665;05.08.2022 04:00:00;10,20;-1,06;10,11;12,31;1459,76
666;05.08.2022 05:00:00;9,87;-1,06;10,62;12,78;1459,13
667;05.08.2022 06:00:00;9,77;-1,06;10,96;13,12;1459,17
668;05.08.2022 07:00:00;9,14;-1,12;11,91;13,94;1457,87
669;05.08.2022 08:00:00;8,97;-1,12;15,44;17,63;1461,63
670;05.08.2022 09:00:00;10,07;-1,06;12,44;14,86;1462,14
671;05.08.2022 10:00:00;10,01;-1,23;12,01;14,37;1461,36
672;05.08.2022 11:00:00;9,57;-1,17;13,49;15,81;1461,53
673;05.08.2022 12:00:00;9,14;-1,17;15,44;17,70;1462,28
674;05.08.2022 13:00:00;9,01;-1,17;15,96;18,19;1462,40
675;05.08.2022 14:00:00;7,68;-1,17;16,49;18,11;1457,83
676;05.08.2022 15:00:00;6,70;-1,12;17,12;18,26;1454,67
677;05.08.2022 16:00:00;7,33;-1,12;17,34;18,79;1457,51
678;05.08.2022 17:00:00;7,88;-1,17;17,40;19,12;1459,80
679;05.08.2022 18:00:00;7,95;-1,12;17,48;19,24;1460,17
680;05.08.2022 19:00:00;8,40;-1,12;17,44;19,42;1461,87
681;05.08.2022 20:00:00;8,67;-1,06;17,44;19,56;1462,94
682;05.08.2022 21:00:00;8,63;-1,12;17,47;19,57;1462,84
683;05.08.2022 22:00:00;9,21;-1,12;17,40;19,79;1464,98
684;05.08.2022 23:00:00;8,80;-1,12;17,47;19,66;1463,50
685;06.08.2022 00:00:00;8,74;-1,12;17,44;19,60;1463,21
686;06.08.2022 01:00:00;7,85;-1,12;17,46;19,17;1459,74
687;06.08.2022 02:00:00;7,23;-1,12;17,27;18,67;1457,00
688;06.08.2022 03:00:00;6,10;-1,06;16,31;17,18;1451,16
689;06.08.2022 04:00:00;6,49;-1,00;16,05;17,12;1452,45
690;06.08.2022 05:00:00;7,16;-0,94;15,49;16,86;1454,46
691;06.08.2022 06:00:00;7,23;-0,94;15,29;16,69;1454,50
692;06.08.2022 07:00:00;7,02;-0,83;15,41;16,72;1453,80
693;06.08.2022 08:00:00;6,95;-0,94;15,47;16,74;1453,58
694;06.08.2022 09:00:00;6,74;-0,89;15,66;16,84;1452,96
695;06.08.2022 10:00:00;6,56;-0,83;15,91;17,00;1452,56
696;06.08.2022 11:00:00;6,81;-0,83;15,78;16,99;1453,41
697;06.08.2022 12:00:00;6,63;-0,89;16,29;17,41;1453,33
698;06.08.2022 13:00:00;6,56;-0,89;16,71;17,79;1453,58
699;06.08.2022 14:00:00;7,23;-0,83;15,47;16,87;1454,73
700;06.08.2022 15:00:00;7,26;-0,83;15,20;16,61;1454,52
701;06.08.2022 16:00:00;7,09;-0,83;15,41;16,75;1454,08
702;06.08.2022 17:00:00;7,68;-0,83;14,79;16,38;1455,68
703;06.08.2022 18:00:00;7,88;-0,83;14,39;16,06;1456,01
704;06.08.2022 19:00:00;7,99;-0,77;14,20;15,91;1456,19
705;06.08.2022 20:00:00;8,06;-0,83;13,76;15,48;1455,91
706;06.08.2022 21:00:00;8,02;-0,83;13,41;15,10;1455,33
707;06.08.2022 22:00:00;7,95;-0,89;13,12;14,78;1454,69
708;06.08.2022 23:00:00;7,85;-0,94;12,99;14,60;1454,11
709;07.08.2022 00:00:00;7,75;-0,94;12,76;14,32;1453,40
710;07.08.2022 01:00:00;7,61;-1,00;12,73;14,24;1452,80
711;07.08.2022 02:00:00;7,54;-0,94;12,63;14,12;1452,41
712;07.08.2022 03:00:00;7,47;-0,94;12,59;14,04;1452,07
713;07.08.2022 04:00:00;7,40;-0,89;12,57;14,00;1451,77
714;07.08.2022 05:00:00;7,44;-0,94;12,49;13,93;1451,80
715;07.08.2022 06:00:00;7,33;-0,94;12,59;14,00;1451,51
716;07.08.2022 07:00:00;7,40;-0,89;13,01;14,45;1452,32
717;07.08.2022 08:00:00;7,33;-0,83;12,89;14,30;1451,88
718;07.08.2022 09:00:00;7,37;-0,94;13,03;14,45;1452,20
719;07.08.2022 10:00:00;7,47;-0,94;13,23;14,70;1452,87
720;07.08.2022 11:00:00;7,54;-0,94;13,30;14,80;1453,24
721;07.08.2022 12:00:00;7,78;-0,89;13,36;14,95;1454,29
722;07.08.2022 13:00:00;8,02;-0,94;13,40;15,09;1455,31
723;07.08.2022 14:00:00;8,46;-1,00;13,43;15,30;1457,11
724;07.08.2022 15:00:00;8,74;-1,00;12,84;14,79;1457,45
725;07.08.2022 16:00:00;8,57;-0,94;12,57;14,43;1456,44
726;07.08.2022 17:00:00;8,50;-0,94;12,58;14,42;1456,18
727;07.08.2022 18:00:00;8,50;-0,94;12,49;14,32;1456,07
728;07.08.2022 19:00:00;8,43;-0,94;12,08;13,87;1455,29
729;07.08.2022 20:00:00;8,29;-1,00;12,20;13,95;1454,90
730;07.08.2022 21:00:00;8,36;-1,06;11,99;13,75;1454,91
731;07.08.2022 22:00:00;8,16;-1,06;12,29;13,99;1454,46
732;07.08.2022 23:00:00;8,02;-1,06;12,10;13,74;1453,67
733;08.08.2022 00:00:00;7,92;-1,12;11,72;13,30;1452,78
734;08.08.2022 01:00:00;7,68;-1,23;12,19;13,70;1452,40
735;08.08.2022 02:00:00;7,51;-1,17;12,28;13,74;1451,82
736;08.08.2022 03:00:00;7,33;-1,17;12,17;13,56;1450,97
737;08.08.2022 04:00:00;7,23;-1,17;11,86;13,20;1450,15
738;08.08.2022 05:00:00;7,12;-1,17;11,53;12,83;1449,30
739;08.08.2022 06:00:00;7,05;-1,06;11,55;12,83;1449,05
740;08.08.2022 07:00:00;6,91;-1,06;11,54;12,77;1448,46
741;08.08.2022 08:00:00;6,77;-1,00;11,40;12,58;1447,70
742;08.08.2022 09:00:00;6,77;-1,00;13,82;15,02;1450,77
743;08.08.2022 10:00:00;6,70;-1,06;13,76;14,94;1450,41
744;08.08.2022 11:00:00;6,74;-1,06;14,61;15,80;1451,63
745;08.08.2022 12:00:00;6,88;-1,06;14,43;15,68;1451,98
746;08.08.2022 13:00:00;6,95;-1,06;14,45;15,72;1452,29
747;08.08.2022 14:00:00;6,95;-1,06;14,74;16,02;1452,66
748;08.08.2022 15:00:00;6,91;-1,12;14,92;16,18;1452,74
749;08.08.2022 16:00:00;6,88;-1,06;14,94;16,18;1452,62
750;08.08.2022 17:00:00;6,84;-1,12;14,90;16,13;1452,43
751;08.08.2022 18:00:00;7,05;-1,06;14,70;16,02;1453,03
752;08.08.2022 19:00:00;7,02;-1,12;14,60;15,91;1452,76
753;08.08.2022 20:00:00;6,81;-1,17;14,51;15,73;1451,79
754;08.08.2022 21:00:00;6,70;-1,17;14,25;15,42;1451,02
755;08.08.2022 22:00:00;6,63;-1,23;14,31;15,46;1450,81
756;08.08.2022 23:00:00;6,46;-1,23;13,90;14,97;1449,56
757;09.08.2022 00:00:00;6,35;-1,23;13,78;14,81;1448,97
758;09.08.2022 01:00:00;6,21;-1,34;13,55;14,53;1448,07
759;09.08.2022 02:00:00;6,14;-1,40;13,54;14,49;1447,77
760;09.08.2022 03:00:00;6,00;-1,40;13,54;14,44;1447,17
761;09.08.2022 04:00:00;5,85;-1,46;12,51;13,37;1445,25
762;09.08.2022 05:00:00;5,82;-1,40;12,10;12,95;1444,57
763;09.08.2022 06:00:00;5,71;-1,23;12,02;12,84;1444,02
764;09.08.2022 07:00:00;5,78;-1,29;11,43;12,27;1443,57
765;09.08.2022 08:00:00;5,75;-1,29;11,23;12,06;1443,15
766;09.08.2022 09:00:00;5,67;-1,12;11,53;12,34;1443,24
767;09.08.2022 10:00:00;5,71;-1,12;11,86;12,68;1443,82
768;09.08.2022 11:00:00;5,78;-1,12;12,35;13,18;1444,75
769;09.08.2022 12:00:00;5,78;-1,00;12,60;13,43;1445,06
770;09.08.2022 13:00:00;5,85;-1,06;12,70;13,56;1445,50
771;09.08.2022 14:00:00;6,07;-1,00;12,45;13,38;1446,08
772;09.08.2022 15:00:00;6,17;-1,00;12,19;13,17;1446,20
773;09.08.2022 16:00:00;6,24;-1,12;11,87;12,87;1446,09
774;09.08.2022 17:00:00;6,32;-1,06;11,70;12,72;1446,16
775;09.08.2022 18:00:00;6,39;-1,12;11,62;12,67;1446,36
776;09.08.2022 19:00:00;6,49;-1,12;11,62;12,71;1446,81
777;09.08.2022 20:00:00;6,53;-1,12;11,63;12,73;1446,96
778;09.08.2022 21:00:00;6,49;-1,06;11,78;12,87;1447,01
779;09.08.2022 22:00:00;6,42;-1,00;11,86;12,92;1446,81
780;09.08.2022 23:00:00;6,32;-1,00;11,99;13,02;1446,54
781;10.08.2022 00:00:00;6,10;-1,06;12,44;13,39;1446,22
782;10.08.2022 01:00:00;6,03;-1,06;13,02;13,93;1446,66
783;10.08.2022 02:00:00;6,03;-1,06;13,12;14,04;1446,79
784;10.08.2022 03:00:00;6,03;-1,12;13,24;14,15;1446,94
785;10.08.2022 04:00:00;6,00;-1,12;13,38;14,28;1446,97
786;10.08.2022 05:00:00;6,00;-1,12;13,40;14,30;1447,00
787;10.08.2022 06:00:00;5,92;-1,06;13,52;14,39;1446,85
788;10.08.2022 07:00:00;5,85;-1,06;13,74;14,57;1446,82
789;10.08.2022 08:00:00;5,78;-1,00;14,02;14,82;1446,89
790;10.08.2022 09:00:00;5,78;-0,94;14,16;14,95;1447,06
791;10.08.2022 10:00:00;5,92;-0,89;14,05;14,91;1447,54
792;10.08.2022 11:00:00;5,96;-0,83;14,08;14,95;1447,72
793;10.08.2022 12:00:00;6,14;-0,89;14,11;15,05;1448,50
794;10.08.2022 13:00:00;6,35;-0,83;14,16;15,19;1449,45
795;10.08.2022 14:00:00;6,70;-0,89;14,10;15,28;1450,84
796;10.08.2022 15:00:00;6,91;-0,89;13,76;15,02;1451,27
797;10.08.2022 16:00:00;7,09;-0,94;13,72;15,05;1451,93
798;10.08.2022 17:00:00;7,12;-1,00;13,64;14,98;1451,97
799;10.08.2022 18:00:00;7,26;-1,06;13,53;14,93;1452,41
800;10.08.2022 19:00:00;7,23;-1,12;13,52;14,90;1452,25
801;10.08.2022 20:00:00;7,19;-1,12;13,50;14,87;1452,08
802;10.08.2022 21:00:00;7,26;-1,12;13,28;14,67;1452,09
803;10.08.2022 22:00:00;7,30;-1,00;13,26;14,66;1452,21
804;10.08.2022 23:00:00;7,23;-1,06;13,39;14,77;1452,09
805;11.08.2022 00:00:00;7,19;-1,06;13,33;14,70;1451,87
806;11.08.2022 01:00:00;7,19;-0,94;13,09;14,46;1451,57
807;11.08.2022 02:00:00;7,26;-1,06;13,03;14,42;1451,78
808;11.08.2022 03:00:00;7,33;-1,00;13,03;14,45;1452,07
809;11.08.2022 04:00:00;7,23;-1,00;13,02;14,39;1451,62
810;11.08.2022 05:00:00;7,26;-1,06;13,07;14,46;1451,82
