Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
387;24.07.2022 11:00:00;5,70;-2,40;0,00;0,00;1428,55
388;24.07.2022 12:00:00;5,66;-2,40;0,00;0,00;1428,40
389;24.07.2022 13:00:00;5,88;-2,34;0,00;0,00;1429,33
390;24.07.2022 14:00:00;6,05;-2,40;0,00;0,00;1430,10
391;24.07.2022 15:00:00;6,83;-2,46;0,00;0,00;1433,43
392;24.07.2022 16:00:00;7,49;-2,46;0,00;0,00;1436,22
393;24.07.2022 17:00:00;7,70;-2,34;0,00;0,00;1437,08
394;24.07.2022 18:00:00;7,56;-2,40;0,00;0,00;1436,51
395;24.07.2022 19:00:00;7,83;-2,40;0,00;0,00;1437,66
396;24.07.2022 20:00:00;7,42;-2,40;0,00;0,00;1435,93
397;24.07.2022 21:00:00;7,32;-2,40;0,00;0,00;1435,49
398;24.07.2022 22:00:00;7,00;-2,40;0,00;0,00;1434,17
399;24.07.2022 23:00:00;6,20;-2,52;6,61;7,47;1439,15
400;25.07.2022 00:00:00;6,27;-2,52;4,36;5,07;1436,57
401;25.07.2022 01:00:00;6,65;-2,58;4,37;5,13;1438,23
402;25.07.2022 02:00:00;6,58;-2,52;3,40;4,06;1436,71
403;25.07.2022 03:00:00;6,30;-2,69;5,29;6,08;1437,91
404;25.07.2022 04:00:00;6,27;-2,64;1,17;1,47;1432,51
405;25.07.2022 05:00:00;6,13;-2,75;0,00;0,00;1430,40
406;25.07.2022 06:00:00;5,98;-2,69;0,00;0,00;1429,79
407;25.07.2022 07:00:00;5,84;-2,75;0,00;0,00;1429,17
408;25.07.2022 08:00:00;5,81;-2,69;0,00;0,00;1429,02
409;25.07.2022 09:00:00;5,84;-2,69;0,00;0,00;1429,17
410;25.07.2022 10:00:00;5,84;-2,75;0,00;0,00;1429,17
411;25.07.2022 11:00:00;5,98;-2,69;0,00;0,00;1429,79
412;25.07.2022 12:00:00;6,13;-2,64;0,00;0,00;1430,41
413;25.07.2022 13:00:00;6,27;-2,69;0,00;0,00;1431,02
414;25.07.2022 14:00:00;6,44;-2,75;0,00;0,00;1431,77
415;25.07.2022 15:00:00;6,58;-2,69;0,00;0,00;1432,38
416;25.07.2022 16:00:00;6,65;-2,58;0,00;0,00;1432,68
417;25.07.2022 17:00:00;6,86;-2,69;0,00;0,00;1433,57
418;25.07.2022 18:00:00;6,83;-2,87;0,00;0,00;1433,42
419;25.07.2022 19:00:00;6,76;-2,75;0,00;0,00;1433,13
420;25.07.2022 20:00:00;6,58;-2,93;0,00;0,00;1432,37
421;25.07.2022 21:00:00;6,44;-2,81;0,00;0,00;1431,77
422;25.07.2022 22:00:00;6,30;-2,87;0,00;0,00;1431,17
423;25.07.2022 23:00:00;6,16;-2,93;0,00;0,00;1430,55
424;26.07.2022 00:00:00;5,98;-2,81;0,00;0,00;1429,79
425;26.07.2022 01:00:00;5,91;-2,75;0,00;0,00;1429,48
426;26.07.2022 02:00:00;5,81;-2,98;0,00;0,00;1429,01
427;26.07.2022 03:00:00;5,48;-2,98;0,00;0,00;1427,60
428;26.07.2022 04:00:00;5,59;-3,04;0,00;0,00;1428,07
429;26.07.2022 05:00:00;5,48;-2,98;0,00;0,00;1427,60
430;26.07.2022 06:00:00;5,59;-2,98;0,00;0,00;1428,07
431;26.07.2022 07:00:00;5,45;-2,98;0,00;0,00;1427,45
432;26.07.2022 08:00:00;5,41;-3,04;0,00;0,00;1427,29
433;26.07.2022 09:00:00;5,77;-2,93;10,26;11,11;1442,00
434;26.07.2022 10:00:00;5,59;-2,87;12,38;13,15;1443,96
435;26.07.2022 11:00:00;5,09;-2,93;15,21;15,67;1445,44
436;26.07.2022 12:00:00;3,91;-2,87;18,26;17,95;1444,33
437;26.07.2022 13:00:00;4,54;-2,75;18,46;18,45;1447,30
438;26.07.2022 14:00:00;4,83;-2,75;18,67;18,80;1448,82
439;26.07.2022 15:00:00;5,09;-2,81;18,86;19,10;1450,14
440;26.07.2022 16:00:00;5,45;-2,81;18,98;19,40;1451,82
441;26.07.2022 17:00:00;5,66;-2,81;18,93;19,48;1452,66
442;26.07.2022 18:00:00;6,48;-2,81;15,28;16,35;1451,39
443;26.07.2022 19:00:00;7,28;-2,75;12,38;13,76;1451,01
444;26.07.2022 20:00:00;7,73;-2,69;10,26;11,71;1450,16
445;26.07.2022 21:00:00;7,73;-2,58;9,82;11,24;1449,60
446;26.07.2022 22:00:00;7,42;-2,52;10,28;11,63;1448,92
447;26.07.2022 23:00:00;7,11;-2,58;10,46;11,72;1447,86
448;27.07.2022 00:00:00;6,83;-2,52;10,46;11,63;1446,71
449;27.07.2022 01:00:00;6,51;-2,40;10,23;11,30;1445,11
450;27.07.2022 02:00:00;6,34;-2,34;10,06;11,07;1444,14
451;27.07.2022 03:00:00;6,30;-2,29;9,32;10,30;1443,06
452;27.07.2022 04:00:00;5,81;-2,29;12,16;13,01;1444,59
453;27.07.2022 05:00:00;5,63;-2,23;13,06;13,82;1444,98
454;27.07.2022 06:00:00;5,81;-2,29;12,12;12,97;1444,54
455;27.07.2022 07:00:00;5,73;-2,17;11,78;12,61;1443,81
456;27.07.2022 08:00:00;5,66;-2,11;11,46;12,27;1443,09
457;27.07.2022 09:00:00;5,56;-2,11;10,94;11,71;1441,96
458;27.07.2022 10:00:00;5,52;-2,17;10,63;11,40;1441,42
459;27.07.2022 11:00:00;5,63;-2,17;10,60;11,40;1441,83
460;27.07.2022 12:00:00;5,63;-2,05;10,32;11,12;1441,48
461;27.07.2022 13:00:00;5,56;-2,05;10,04;10,82;1440,81
462;27.07.2022 14:00:00;5,30;-2,00;10,27;10,97;1440,02
463;27.07.2022 15:00:00;5,20;-2,11;10,45;11,11;1439,79
464;27.07.2022 16:00:00;5,09;-2,11;10,35;10,99;1439,20
465;27.07.2022 17:00:00;5,02;-2,11;10,15;10,77;1438,63
466;27.07.2022 18:00:00;5,05;-2,11;9,33;9,96;1437,72
467;27.07.2022 19:00:00;4,72;-2,17;7,66;8,23;1434,15
468;27.07.2022 20:00:00;4,69;-2,17;6,19;6,73;1432,08
469;27.07.2022 21:00:00;4,47;-2,23;5,23;5,71;1429,87
470;27.07.2022 22:00:00;4,32;-2,17;3,82;4,24;1427,39
471;27.07.2022 23:00:00;4,25;-2,11;3,65;4,06;1426,84
472;28.07.2022 00:00:00;4,14;-2,17;2,99;3,35;1425,49
473;28.07.2022 01:00:00;4,10;-2,17;2,36;2,68;1424,51
474;28.07.2022 02:00:00;3,91;-2,23;2,33;2,64;1423,64
475;28.07.2022 03:00:00;3,80;-2,23;1,75;2,00;1422,37
476;28.07.2022 04:00:00;3,77;-2,29;1,88;2,14;1422,37
477;28.07.2022 05:00:00;3,47;-2,34;0,96;1,12;1419,81
478;28.07.2022 06:00:00;3,24;-2,40;0,00;0,00;1417,52
479;28.07.2022 07:00:00;3,17;-2,46;0,00;0,00;1417,17
480;28.07.2022 08:00:00;3,05;-2,29;0,00;0,00;1416,65
481;28.07.2022 09:00:00;3,24;-2,29;0,00;0,00;1417,52
482;28.07.2022 10:00:00;3,17;-2,29;0,00;0,00;1417,17
483;28.07.2022 11:00:00;3,35;-2,23;0,00;0,00;1418,04
484;28.07.2022 12:00:00;3,39;-2,23;0,00;0,00;1418,22
485;28.07.2022 13:00:00;3,39;-2,17;0,00;0,00;1418,22
486;28.07.2022 14:00:00;3,43;-2,11;0,00;0,00;1418,39
487;28.07.2022 15:00:00;3,47;-2,11;0,00;0,00;1418,56
488;28.07.2022 16:00:00;3,47;-2,17;0,00;0,00;1418,56
489;28.07.2022 17:00:00;3,54;-2,17;0,00;0,00;1418,90
490;28.07.2022 18:00:00;3,47;-2,17;0,00;0,00;1418,56
491;28.07.2022 19:00:00;3,50;-2,34;0,00;0,00;1418,73
492;28.07.2022 20:00:00;3,50;-2,34;0,00;0,00;1418,73
493;28.07.2022 21:00:00;3,39;-2,40;0,00;0,00;1418,21
494;28.07.2022 22:00:00;3,39;-2,40;0,00;0,00;1418,21
495;28.07.2022 23:00:00;3,50;-2,23;0,00;0,00;1418,73
496;29.07.2022 00:00:00;3,50;-2,23;0,00;0,00;1418,73
497;29.07.2022 01:00:00;3,50;-2,29;0,00;0,00;1418,73
498;29.07.2022 02:00:00;3,39;-2,34;0,00;0,00;1418,21
499;29.07.2022 03:00:00;3,39;-2,34;0,00;0,00;1418,21
500;29.07.2022 04:00:00;3,20;-2,34;0,00;0,00;1417,35
501;29.07.2022 05:00:00;3,28;-2,40;0,00;0,00;1417,69
502;29.07.2022 06:00:00;3,13;-2,40;0,00;0,00;1417,00
503;29.07.2022 07:00:00;3,09;-2,46;0,00;0,00;1416,82
504;29.07.2022 08:00:00;3,17;-2,52;0,00;0,00;1417,17
505;29.07.2022 09:00:00;3,24;-2,46;0,00;0,00;1417,52
506;29.07.2022 10:00:00;3,35;-2,46;0,00;0,00;1418,04
507;29.07.2022 11:00:00;3,43;-2,34;0,00;0,00;1418,39
508;29.07.2022 12:00:00;4,06;-2,40;0,00;0,00;1421,27
509;29.07.2022 13:00:00;4,10;-2,29;0,00;0,00;1421,44
510;29.07.2022 14:00:00;4,17;-2,23;0,00;0,00;1421,78
511;29.07.2022 15:00:00;4,28;-2,29;0,00;0,00;1422,28
512;29.07.2022 16:00:00;4,32;-2,34;0,00;0,00;1422,44
513;29.07.2022 17:00:00;4,36;-2,34;0,00;0,00;1422,61
514;29.07.2022 18:00:00;4,69;-2,34;0,00;0,00;1424,09
515;29.07.2022 19:00:00;4,72;-2,46;0,00;0,00;1424,25
516;29.07.2022 20:00:00;4,80;-2,46;0,00;0,00;1424,57
517;29.07.2022 21:00:00;4,83;-2,52;0,00;0,00;1424,73
518;29.07.2022 22:00:00;4,80;-2,46;0,00;0,00;1424,57
519;29.07.2022 23:00:00;4,72;-2,52;0,00;0,00;1424,25
520;30.07.2022 00:00:00;4,69;-2,46;0,00;0,00;1424,08
521;30.07.2022 01:00:00;4,65;-2,46;0,00;0,00;1423,92
522;30.07.2022 02:00:00;4,47;-2,52;0,00;0,00;1423,10
523;30.07.2022 03:00:00;3,69;-2,58;0,00;0,00;1419,58
524;30.07.2022 04:00:00;3,54;-2,52;0,00;0,00;1418,90
525;30.07.2022 05:00:00;4,06;-2,58;0,00;0,00;1421,27
526;30.07.2022 06:00:00;4,03;-2,58;0,00;0,00;1421,10
527;30.07.2022 07:00:00;3,91;-2,69;0,00;0,00;1420,60
528;30.07.2022 08:00:00;3,91;-2,75;0,00;0,00;1420,60
529;30.07.2022 09:00:00;3,99;-2,69;0,00;0,00;1420,93
530;30.07.2022 10:00:00;4,10;-2,69;0,00;0,00;1421,44
531;30.07.2022 11:00:00;4,28;-2,64;0,00;0,00;1422,27
532;30.07.2022 12:00:00;4,32;-2,58;0,00;0,00;1422,44
533;30.07.2022 13:00:00;4,17;-2,52;0,00;0,00;1421,77
534;30.07.2022 14:00:00;4,39;-2,52;0,00;0,00;1422,77
535;30.07.2022 15:00:00;4,61;-2,52;3,47;3,91;1428,24
536;30.07.2022 16:00:00;4,91;-2,52;7,67;8,27;1434,95
537;30.07.2022 17:00:00;4,94;-2,46;9,49;10,10;1437,46
538;30.07.2022 18:00:00;5,38;-2,52;9,95;10,67;1439,92
539;30.07.2022 19:00:00;5,34;-2,69;10,18;10,89;1440,06
540;30.07.2022 20:00:00;5,30;-2,64;10,37;11,07;1440,15
541;30.07.2022 21:00:00;5,45;-2,69;10,43;11,18;1440,85
542;30.07.2022 22:00:00;5,38;-2,69;10,61;11,33;1440,77
543;30.07.2022 23:00:00;5,02;-2,64;10,59;11,20;1439,19
544;31.07.2022 00:00:00;4,72;-2,69;10,72;11,23;1438,09
545;31.07.2022 01:00:00;4,65;-2,64;10,72;11,21;1437,77
546;31.07.2022 02:00:00;4,43;-2,69;10,85;11,27;1436,98
547;31.07.2022 03:00:00;4,32;-2,64;11,15;11,52;1436,89
548;31.07.2022 04:00:00;4,28;-2,58;11,20;11,56;1436,79
549;31.07.2022 05:00:00;4,25;-2,64;11,35;11,68;1436,81
550;31.07.2022 06:00:00;4,25;-2,69;11,35;11,68;1436,82
551;31.07.2022 07:00:00;4,14;-2,75;11,32;11,62;1436,29
552;31.07.2022 08:00:00;4,39;-2,81;10,75;11,16;1436,69
553;31.07.2022 09:00:00;4,21;-2,75;10,99;11,33;1436,19
554;31.07.2022 10:00:00;4,43;-2,75;10,93;11,34;1437,08
555;31.07.2022 11:00:00;4,54;-2,69;10,97;11,41;1437,61
556;31.07.2022 12:00:00;4,65;-2,69;11,15;11,62;1438,32
557;31.07.2022 13:00:00;4,83;-2,69;11,26;11,80;1439,27
558;31.07.2022 14:00:00;4,69;-2,52;11,31;11,80;1438,70
559;31.07.2022 15:00:00;5,16;-2,52;11,41;12,05;1440,87
560;31.07.2022 16:00:00;5,16;-2,52;11,62;12,25;1441,14
561;31.07.2022 17:00:00;5,12;-2,52;11,57;12,19;1440,91
562;31.07.2022 18:00:00;5,16;-2,58;11,48;12,12;1440,96
563;31.07.2022 19:00:00;5,38;-2,58;11,36;12,07;1441,73
564;31.07.2022 20:00:00;5,77;-2,52;11,21;12,05;1443,21
565;31.07.2022 21:00:00;5,56;-2,58;11,16;11,93;1442,24
566;31.07.2022 22:00:00;5,73;-2,64;11,28;12,10;1443,15
567;31.07.2022 23:00:00;5,56;-2,58;11,47;12,23;1442,63
568;01.08.2022 00:00:00;5,34;-2,58;11,54;12,23;1441,80
569;01.08.2022 01:00:00;5,12;-2,52;11,61;12,23;1440,97
570;01.08.2022 02:00:00;4,03;-2,52;11,85;12,09;1436,49
571;01.08.2022 03:00:00;3,99;-2,46;11,93;12,15;1436,43
572;01.08.2022 04:00:00;4,10;-2,52;12,02;12,27;1437,04
573;01.08.2022 05:00:00;4,03;-2,58;11,87;12,10;1436,52
574;01.08.2022 06:00:00;4,10;-2,58;11,77;12,03;1436,71
575;01.08.2022 07:00:00;4,06;-2,69;11,73;11,99;1436,50
576;01.08.2022 08:00:00;4,10;-2,69;11,58;11,86;1436,47
577;01.08.2022 09:00:00;4,21;-2,69;11,47;11,79;1436,81
578;01.08.2022 10:00:00;4,32;-2,64;11,02;11,39;1436,71
579;01.08.2022 11:00:00;4,54;-2,64;11,04;11,49;1437,71
580;01.08.2022 12:00:00;4,54;-2,58;11,41;11,84;1438,19
581;01.08.2022 13:00:00;4,65;-2,64;11,44;11,90;1438,70
582;01.08.2022 14:00:00;4,91;-2,52;11,24;11,80;1439,56
583;01.08.2022 15:00:00;4,94;-2,58;11,27;11,84;1439,74
584;01.08.2022 16:00:00;4,91;-2,40;11,31;11,86;1439,64
585;01.08.2022 17:00:00;5,05;-2,52;11,23;11,83;1440,17
586;01.08.2022 18:00:00;4,91;-2,58;11,29;11,84;1439,61
587;01.08.2022 19:00:00;5,12;-2,64;11,43;12,05;1440,74
588;01.08.2022 20:00:00;5,23;-2,64;11,33;11,99;1441,07
589;01.08.2022 21:00:00;5,30;-2,64;11,29;11,98;1441,33
590;01.08.2022 22:00:00;5,12;-2,69;11,25;11,88;1440,50
591;01.08.2022 23:00:00;5,23;-2,64;11,28;11,94;1441,00
592;02.08.2022 00:00:00;5,02;-2,64;11,13;11,73;1439,88
593;02.08.2022 01:00:00;4,76;-2,64;11,31;11,82;1439,01
594;02.08.2022 02:00:00;4,28;-2,58;11,51;11,85;1437,19
595;02.08.2022 03:00:00;4,06;-2,52;11,68;11,94;1436,43
596;02.08.2022 04:00:00;3,84;-2,52;11,92;12,09;1435,77
597;02.08.2022 05:00:00;4,06;-2,58;11,82;12,07;1436,61
598;02.08.2022 06:00:00;3,77;-2,64;11,77;11,92;1435,23
599;02.08.2022 07:00:00;3,62;-2,64;11,89;11,98;1434,73
600;02.08.2022 08:00:00;4,32;-2,69;11,64;11,98;1437,52
601;02.08.2022 09:00:00;4,28;-2,69;11,63;11,96;1437,34
602;02.08.2022 10:00:00;4,36;-2,75;11,72;12,08;1437,78
603;02.08.2022 11:00:00;4,69;-2,69;11,68;12,15;1439,17
604;02.08.2022 12:00:00;4,69;-2,69;11,85;12,31;1439,39
605;02.08.2022 13:00:00;4,43;-2,69;12,26;12,62;1438,80
606;02.08.2022 14:00:00;4,28;-2,64;12,95;13,22;1439,06
607;02.08.2022 15:00:00;3,77;-2,64;13,21;13,27;1437,12
608;02.08.2022 16:00:00;3,88;-2,64;13,41;13,49;1437,86
609;02.08.2022 17:00:00;4,06;-2,69;13,66;13,80;1439,01
610;02.08.2022 18:00:00;4,43;-2,58;13,41;13,71;1440,29
611;02.08.2022 19:00:00;4,51;-2,64;13,42;13,74;1440,62
612;02.08.2022 20:00:00;4,58;-2,69;13,44;13,78;1440,96
613;02.08.2022 21:00:00;4,58;-2,81;13,33;13,68;1440,82
614;02.08.2022 22:00:00;4,54;-2,75;13,63;13,95;1441,05
615;02.08.2022 23:00:00;4,87;-2,69;13,64;14,09;1442,49
616;03.08.2022 00:00:00;4,43;-2,75;13,37;13,66;1440,23
617;03.08.2022 01:00:00;4,51;-2,69;12,88;13,23;1439,93
618;03.08.2022 02:00:00;4,43;-2,69;12,76;13,09;1439,45
619;03.08.2022 03:00:00;4,21;-2,58;12,93;13,17;1438,70
620;03.08.2022 04:00:00;4,06;-2,58;13,07;13,25;1438,24
621;03.08.2022 05:00:00;3,02;-2,69;14,50;14,15;1435,45
622;03.08.2022 06:00:00;2,48;-2,64;14,80;14,20;1433,43
623;03.08.2022 07:00:00;1,55;-2,64;16,12;14,95;1430,91
624;03.08.2022 08:00:00;2,44;-2,69;16,24;15,45;1435,15
625;03.08.2022 09:00:00;1,55;-2,69;16,70;15,45;1431,68
626;03.08.2022 10:00:00;1,39;-2,64;17,38;15,95;1431,86
627;03.08.2022 11:00:00;1,39;-2,64;17,74;16,26;1432,34
628;03.08.2022 12:00:00;2,10;-2,64;17,95;16,78;1435,83
629;03.08.2022 13:00:00;2,56;-2,58;18,05;17,08;1438,05
630;03.08.2022 14:00:00;2,94;-2,58;18,11;17,33;1439,83
631;03.08.2022 15:00:00;3,47;-2,46;18,18;17,65;1442,27
632;03.08.2022 16:00:00;3,69;-2,46;18,25;17,83;1443,35
633;03.08.2022 17:00:00;3,17;-2,52;18,27;17,58;1441,06
634;03.08.2022 18:00:00;3,99;-2,46;18,33;18,05;1444,75
635;03.08.2022 19:00:00;4,17;-2,46;18,35;18,16;1445,58
636;03.08.2022 20:00:00;3,80;-2,52;18,37;17,99;1443,99
637;03.08.2022 21:00:00;5,12;-2,58;18,01;18,33;1449,21
638;03.08.2022 22:00:00;5,66;-2,52;17,60;18,21;1450,95
639;03.08.2022 23:00:00;7,28;-2,46;15,18;16,61;1454,56
640;04.08.2022 00:00:00;7,00;-2,46;14,64;15,94;1452,73
641;04.08.2022 01:00:00;6,79;-2,40;14,62;15,83;1451,85
642;04.08.2022 02:00:00;7,11;-2,34;14,38;15,72;1452,83
643;04.08.2022 03:00:00;7,39;-2,29;14,05;15,50;1453,54
644;04.08.2022 04:00:00;7,73;-2,23;13,46;15,04;1454,19
645;04.08.2022 05:00:00;8,00;-2,23;12,75;14,41;1454,41
646;04.08.2022 06:00:00;5,52;-2,46;14,79;15,46;1446,74
647;04.08.2022 07:00:00;5,38;-2,46;15,34;15,93;1446,85
648;04.08.2022 08:00:00;5,34;-2,46;15,73;16,28;1447,20
649;04.08.2022 09:00:00;6,16;-2,52;15,65;16,57;1450,54
650;04.08.2022 10:00:00;6,13;-2,46;15,35;16,27;1450,01
651;04.08.2022 11:00:00;5,84;-2,58;15,60;16,38;1449,14
652;04.08.2022 12:00:00;7,32;-2,46;15,20;16,64;1454,72
653;04.08.2022 13:00:00;7,56;-2,40;15,07;16,62;1455,53
654;04.08.2022 14:00:00;7,14;-2,46;15,31;16,67;1454,15
655;04.08.2022 15:00:00;9,02;-2,29;15,14;17,33;1461,41
656;04.08.2022 16:00:00;9,12;-2,29;14,96;17,19;1461,59
657;04.08.2022 17:00:00;9,39;-2,23;14,95;17,30;1462,61
658;04.08.2022 18:00:00;5,81;-2,46;16,20;16,95;1449,77
659;04.08.2022 19:00:00;6,72;-2,46;16,38;17,54;1453,79
660;04.08.2022 20:00:00;7,80;-2,40;16,58;18,26;1458,40
661;04.08.2022 21:00:00;7,52;-2,40;16,71;18,25;1457,46
662;04.08.2022 22:00:00;8,41;-2,46;16,57;18,53;1460,82
663;04.08.2022 23:00:00;9,09;-2,40;16,30;18,59;1463,13
664;05.08.2022 00:00:00;9,15;-2,34;16,07;18,37;1463,09
665;05.08.2022 01:00:00;9,39;-2,34;15,77;18,17;1463,63
666;05.08.2022 02:00:00;7,76;-2,46;15,92;17,57;1457,43
667;05.08.2022 03:00:00;7,94;-2,40;15,74;17,46;1457,88
668;05.08.2022 04:00:00;7,59;-2,40;15,79;17,36;1456,58
669;05.08.2022 05:00:00;7,94;-2,34;15,57;17,29;1457,68
670;05.08.2022 06:00:00;8,04;-2,40;15,28;17,04;1457,72
671;05.08.2022 07:00:00;7,59;-2,34;15,44;17,01;1456,14
672;05.08.2022 08:00:00;4,91;-2,52;17,25;17,51;1447,30
673;05.08.2022 09:00:00;3,84;-2,64;18,15;17,81;1443,87
674;05.08.2022 10:00:00;3,54;-2,64;18,58;18,05;1443,12
675;05.08.2022 11:00:00;2,48;-2,69;18,93;17,81;1438,87
676;05.08.2022 12:00:00;1,86;-2,69;19,23;17,75;1436,46
677;05.08.2022 13:00:00;1,79;-2,69;19,38;17,84;1436,31
678;05.08.2022 14:00:00;2,17;-2,69;19,48;18,12;1438,19
679;05.08.2022 15:00:00;2,90;-2,64;19,54;18,56;1441,54
680;05.08.2022 16:00:00;3,02;-2,69;19,53;18,61;1442,03
681;05.08.2022 17:00:00;2,75;-2,58;19,61;18,54;1440,96
682;05.08.2022 18:00:00;2,94;-2,58;19,68;18,70;1441,89
683;05.08.2022 19:00:00;3,13;-2,52;19,52;18,67;1442,53
684;05.08.2022 20:00:00;7,80;-2,40;18,18;19,87;1460,42
685;05.08.2022 21:00:00;8,38;-2,40;16,86;18,82;1461,05
686;05.08.2022 22:00:00;9,22;-2,29;15,63;17,94;1462,81
687;05.08.2022 23:00:00;9,15;-2,34;14,99;17,24;1461,75
688;06.08.2022 00:00:00;8,85;-2,34;14,75;16,85;1460,27
689;06.08.2022 01:00:00;8,75;-2,40;14,79;16,85;1459,92
690;06.08.2022 02:00:00;8,72;-2,40;14,51;16,54;1459,44
691;06.08.2022 03:00:00;8,68;-2,34;14,01;16,00;1458,68
692;06.08.2022 04:00:00;8,72;-2,29;13,60;15,58;1458,30
693;06.08.2022 05:00:00;8,72;-2,17;13,37;15,34;1458,02
694;06.08.2022 06:00:00;8,68;-2,17;13,27;15,22;1457,76
695;06.08.2022 07:00:00;8,58;-2,11;13,13;15,03;1457,19
696;06.08.2022 08:00:00;8,68;-2,11;13,31;15,27;1457,82
697;06.08.2022 09:00:00;8,58;-2,05;13,03;14,93;1457,07
698;06.08.2022 10:00:00;8,62;-2,00;12,92;14,82;1457,05
699;06.08.2022 11:00:00;8,55;-2,05;13,03;14,92;1456,93
700;06.08.2022 12:00:00;8,62;-2,05;13,14;15,05;1457,33
701;06.08.2022 13:00:00;8,45;-2,05;12,88;14,71;1456,33
702;06.08.2022 14:00:00;8,48;-2,00;12,43;14,25;1455,90
703;06.08.2022 15:00:00;8,45;-2,17;12,37;14,18;1455,69
704;06.08.2022 16:00:00;8,51;-2,11;12,45;14,29;1456,07
705;06.08.2022 17:00:00;8,68;-2,11;11,96;13,82;1456,12
706;06.08.2022 18:00:00;8,85;-2,05;11,45;13,34;1456,15
707;06.08.2022 19:00:00;8,92;-2,05;11,20;13,10;1456,11
708;06.08.2022 20:00:00;8,92;-2,11;11,15;13,04;1456,04
709;06.08.2022 21:00:00;8,72;-2,17;11,35;13,19;1455,49
710;06.08.2022 22:00:00;8,68;-2,11;10,98;12,78;1454,90
711;06.08.2022 23:00:00;8,48;-2,17;10,82;12,54;1453,89
712;07.08.2022 00:00:00;8,34;-2,29;10,73;12,40;1453,23
713;07.08.2022 01:00:00;8,31;-2,23;10,30;11,92;1452,55
714;07.08.2022 02:00:00;8,34;-2,23;9,84;11,45;1452,12
715;07.08.2022 03:00:00;8,24;-2,23;9,58;11,13;1451,38
716;07.08.2022 04:00:00;8,17;-2,23;9,52;11,05;1451,03
717;07.08.2022 05:00:00;8,04;-2,23;9,34;10,82;1450,25
718;07.08.2022 06:00:00;8,21;-2,23;9,43;10,97;1451,06
719;07.08.2022 07:00:00;7,90;-2,23;9,38;10,82;1449,75
720;07.08.2022 08:00:00;8,07;-2,23;10,23;11,78;1451,51
721;07.08.2022 09:00:00;7,39;-2,29;12,33;13,75;1451,38
722;07.08.2022 10:00:00;7,00;-2,29;13,84;15,14;1451,73
723;07.08.2022 11:00:00;7,07;-2,29;14,41;15,74;1452,73
724;07.08.2022 12:00:00;7,45;-2,34;14,73;16,22;1454,68
725;07.08.2022 13:00:00;7,45;-2,34;14,93;16,43;1454,94
726;07.08.2022 14:00:00;7,49;-2,34;15,27;16,78;1455,50
727;07.08.2022 15:00:00;7,42;-2,34;15,34;16,82;1455,31
728;07.08.2022 16:00:00;7,42;-2,40;15,09;16,58;1455,00
729;07.08.2022 17:00:00;7,45;-2,40;15,30;16,81;1455,41
730;07.08.2022 18:00:00;7,45;-2,40;15,45;16,96;1455,60
731;07.08.2022 19:00:00;7,42;-2,46;15,40;16,89;1455,39
732;07.08.2022 20:00:00;7,45;-2,40;15,53;17,03;1455,69
733;07.08.2022 21:00:00;7,35;-2,46;15,49;16,94;1455,22
734;07.08.2022 22:00:00;7,18;-2,34;15,35;16,73;1454,35
735;07.08.2022 23:00:00;7,00;-2,58;15,27;16,57;1453,53
736;08.08.2022 00:00:00;6,83;-2,58;15,28;16,50;1452,83
737;08.08.2022 01:00:00;6,58;-2,58;15,54;16,66;1452,16
738;08.08.2022 02:00:00;6,48;-2,58;15,54;16,60;1451,71
739;08.08.2022 03:00:00;6,37;-2,64;15,27;16,29;1450,93
740;08.08.2022 04:00:00;6,16;-2,64;15,49;16,42;1450,34
741;08.08.2022 05:00:00;6,05;-2,58;15,43;16,31;1449,81
742;08.08.2022 06:00:00;6,05;-2,52;15,40;16,28;1449,77
743;08.08.2022 07:00:00;6,05;-2,52;15,18;16,07;1449,50
744;08.08.2022 08:00:00;6,13;-2,58;14,85;15,78;1449,37
745;08.08.2022 09:00:00;6,09;-2,52;14,75;15,66;1449,09
746;08.08.2022 10:00:00;6,09;-2,46;14,70;15,61;1449,03
747;08.08.2022 11:00:00;6,16;-2,40;14,59;15,54;1449,19
748;08.08.2022 12:00:00;6,27;-2,40;14,55;15,54;1449,59
749;08.08.2022 13:00:00;6,41;-2,40;14,48;15,53;1450,07
750;08.08.2022 14:00:00;6,58;-2,40;14,37;15,49;1450,66
751;08.08.2022 15:00:00;6,58;-2,46;14,32;15,45;1450,60
752;08.08.2022 16:00:00;6,62;-2,46;14,29;15,43;1450,71
753;08.08.2022 17:00:00;6,69;-2,46;14,24;15,41;1450,93
754;08.08.2022 18:00:00;6,79;-2,52;14,19;15,40;1451,30
755;08.08.2022 19:00:00;6,79;-2,52;14,13;15,35;1451,23
756;08.08.2022 20:00:00;6,83;-2,58;14,07;15,29;1451,29
757;08.08.2022 21:00:00;6,72;-2,52;14,00;15,19;1450,78
758;08.08.2022 22:00:00;6,65;-2,58;14,01;15,16;1450,49
759;08.08.2022 23:00:00;6,55;-2,58;13,94;15,05;1449,97
760;09.08.2022 00:00:00;6,37;-2,64;13,94;14,99;1449,25
761;09.08.2022 01:00:00;6,20;-2,64;13,89;14,86;1448,44
762;09.08.2022 02:00:00;5,88;-2,75;14,07;14,91;1447,33
